id;name;petrol_shr;diesel_shr;ecar_shr;gas_shr;noplug_shr;plu_shr
101;101 / Altstadt/Süd;61.1;27;1.4;1.5;3;2.1
102;102 / Neustadt/Süd;63.4;26.3;1.1;0.9;2.6;2
103;103 / Altstadt/Nord;43.6;40.1;1.6;0.4;5.7;4.7
104;104 / Neustadt/Nord;57;29.4;1.7;1.1;4.1;3.5
105;105 / Deutz;35.5;25.5;4.3;0.4;14.4;16.5
201;201 / Bayenthal;57.3;32.6;1;0.7;3.7;1.8
202;202 / Marienburg;63.2;25.3;1.6;0.4;4.2;2.8
203;203 / Raderberg;59.8;30.8;1.1;0.9;2.2;1.2
204;204 / Raderthal;70;19.4;0.9;1.5;2.3;1
205;205 / Zollstock;65.4;23.3;0.9;1.1;3.1;0.9
206;206 / Rondorf;63.9;23.6;1.1;0.8;1.7;0.7
207;207 / Hahnwald;38.6;44.7;1.7;0.4;3.3;2.3
208;208 / Rodenkirchen;64.2;25.6;1;0.7;2.4;1
209;209 / Weiß;67.2;21.8;0.9;0.9;2.1;0.7
210;210 / Sürth;52.1;37.2;1;0.7;2.9;1.7
211;211 / Godorf;41.5;41.4;5.7;0.5;2;0.9
212;212 / Immendorf;67.9;20.8;0.3;1.2;2.3;0.6
213;213 / Meschenich;60.7;28.8;0.3;1.4;1.5;0.6
301;301 / Klettenberg;69.8;21.8;0.8;0.9;2;0.6
302;302 / Sülz;68.6;21.5;1.8;1.1;2.3;1.3
303;303 / Lindenthal;67.6;23.1;1.2;0.6;2.8;1.9
304;304 / Braunsfeld;52.8;34.7;1.6;0.4;2.9;1.8
305;305 / Müngersdorf;57.4;30.8;1.5;0.4;3.7;1.9
306;306 / Junkersdorf;49.1;30.7;2.7;0.4;9.5;4
307;307 / Weiden;68.1;22.7;0.8;0.8;2.6;0.9
308;308 / Lövenich;60.9;26.7;1.2;0.7;2.8;1.4
309;309 / Widdersdorf;63.9;25.1;1.6;0.6;3.1;1.3
401;401 / Ehrenfeld;57.3;29.7;1.7;1.2;3.9;2.2
402;402 / Neuehrenfeld;63.6;26;0.8;1.2;2.2;1
403;403 / Bickendorf;60.8;28.3;0.5;1.4;2.1;0.8
404;404 / Vogelsang;59.2;27.9;0.9;1.1;2.1;0.8
405;405 / Bocklemünd/Mengenich;62.7;26.8;0.5;1.5;2.1;0.9
406;406 / Ossendorf;42.8;41.5;1.2;0.6;3.6;2.4
501;501 / Nippes;69.2;22.7;0.5;1.2;2;0.6
502;502 / Mauenheim;69.5;20.1;0.5;1.3;1.7;0.3
503;503 / Riehl;67.4;22.4;0.5;1.1;3.7;1.5
504;504 / Niehl;41.3;29.1;1.8;0.6;17.5;3.9
505;505 / Weidenpesch;66.9;23.1;0.6;1;2.5;0.5
506;506 / Longerich;56.2;31.7;0.7;0.9;2.5;0.8
507;507 / Bilderstöckchen;58.7;30.8;0.8;1.1;2.4;1.1
601;601 / Merkenich;45.9;37.7;0.7;0.7;2.6;1.2
602;602 / Fühlingen;61.9;22.7;1.7;0.5;2.4;0.8
603;603 / Seeberg;64.4;27.3;0.4;1.5;2.1;0.2
604;604 / Heimersdorf;68.5;19.8;0.7;1.2;2.1;0.6
605;605 / Lindweiler;58.6;29.8;0.3;0.8;1.9;0.6
606;606 / Pesch;64.5;25.4;0.7;0.8;2.2;0.8
607;607 / Esch/Auweiler;65;23.4;0.9;0.9;2.2;0.8
608;608 / Volkhoven/Weiler;59.3;30.8;0.5;0.8;3.5;0.6
609;609 / Chorweiler;61.2;30.9;0.5;1.7;1.8;0.4
610;610 / Blumenberg;63.7;27.6;0.5;1.4;2.9;0.2
611;611 / Roggendorf/Thenhoven;62.7;24.8;0.5;1.7;2.3;1
612;612 / Worringen;67.8;20;0.7;1.3;2.2;0.8
701;701 / Poll;54;31.1;0.6;0.9;1.5;0.7
702;702 / Westhoven;51.3;37;0.9;0.8;3.4;1.3
703;703 / Ensen;66;24.1;0.5;0.7;2;0.6
704;704 / Gremberghoven;35.2;48;1.4;1;5;3.4
705;705 / Eil;58;30;1.3;0.7;2.7;1.2
706;706 / Porz;66.2;25;0.7;1;2.3;0.7
707;707 / Urbach;69.3;22.5;0.4;1.1;1.8;0.4
708;708 / Elsdorf;59.8;23.2;0.9;0.6;2.4;0.6
709;709 / Grengel;62.5;25.7;1.5;1.1;1.8;1
710;710 / Wahnheide;70.1;21.3;0.4;0.8;1.6;0.4
711;711 / Wahn;61.3;26.8;1.1;0.8;2.7;1.4
712;712 / Lind;59.6;27.3;0.6;0.6;2.3;0.8
713;713 / Libur;61.1;23.3;0.7;1;1.5;1.1
714;714 / Zündorf;68.2;21.8;1.1;0.9;1.8;0.6
715;715 / Langel;62.6;23.9;0.7;0.9;2.1;0.5
716;716 / Finkenberg;43.8;34.1;0.4;0.8;2.8;1.4
801;801 / Humboldt/Gremberg;67;25.4;0.3;1.5;1.6;0.6
802;802 / Kalk;58;34.3;0.7;1.4;1.8;0.6
803;803 / Vingst;67;26.3;;1.1;1.7;
804;804 / Höhenberg;65.4;27;0.3;1;1.9;0.3
805;805 / Ostheim;60.6;29.3;0.4;1.3;2.4;0.6
806;806 / Merheim;65.7;25.4;0.7;1;2.4;0.8
807;807 / Brück;65.6;22.3;0.9;0.9;2.3;1
808;808 / Rath/Heumar;64.8;23.8;1.2;0.7;2.2;1.1
809;809 / Neubrück;65.5;26.8;0.3;1.2;2;0.4
901;901 / Mülheim;57.2;29.7;0.7;1.3;2.6;1.4
902;902 / Buchforst;69.6;24;;1.2;1.7; 
