operator;federal_state;latitude;longitude;power_kw;type;num_plugs
deer GmbH;Baden-Württemberg;48.32789;9.72289;44;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.578534;9.87484;93;Schnellladeeinrichtung;2
SWU Energie GmbH;Baden-Württemberg;48.528983;10.193397;44;Normalladeeinrichtung;2
SWU Energie GmbH;Baden-Württemberg;48.553539;10.082678;44;Normalladeeinrichtung;2
SWU Energie GmbH;Baden-Württemberg;48.179959;10.076977;22;Normalladeeinrichtung;1
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.480387;9.980588;30;Normalladeeinrichtung;2
SWU Energie GmbH;Baden-Württemberg;48.483158;9.985855;22;Normalladeeinrichtung;2
Albwerk GmbH & Co. KG;Baden-Württemberg;48.464484;9.760458;22;Normalladeeinrichtung;2
EnBW ODR AG;Baden-Württemberg;48.498819;10.029118;22;Normalladeeinrichtung;1
Autohaus Burger GmbH & Co. KG;Baden-Württemberg;48.4036614;9.7746765;22;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.408031;9.790154;30;Normalladeeinrichtung;2
Lamm Asch;Baden-Württemberg;48.43932825;9.817808069;22;Normalladeeinrichtung;1
Lamm Asch;Baden-Württemberg;48.4392714;9.817808069;11;Normalladeeinrichtung;1
Lamm Asch;Baden-Württemberg;48.4392714;9.818274919;11;Normalladeeinrichtung;1
Lamm Asch;Baden-Württemberg;48.43975;9.818356;11;Normalladeeinrichtung;1
Lamm Asch;Baden-Württemberg;48.43975;9.818356;11;Normalladeeinrichtung;1
OMS Prüfservice GmbH;Baden-Württemberg;48.427379;9.753937;22;Normalladeeinrichtung;1
OMS Prüfservice GmbH;Baden-Württemberg;48.427379;9.753937;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.413496;9.8623;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.412767;9.78178;30;Normalladeeinrichtung;1
Tagungszentrum Blaubeuren;Baden-Württemberg;48.432935;9.772928;11;Normalladeeinrichtung;1
Tagungszentrum Blaubeuren;Baden-Württemberg;48.432935;9.772928;11;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.437012;9.820351;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.418242;9.748788;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.398975;9.805573;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.369369;9.808528;22;Normalladeeinrichtung;1
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.416998;9.918955;30;Normalladeeinrichtung;2
Ladestation Pension Engel;Baden-Württemberg;48.4273495;9.863105;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.409847;9.940684;22;Normalladeeinrichtung;2
SWU Energie GmbH;Baden-Württemberg;48.303502;9.903994;44;Normalladeeinrichtung;1
Ehrle Consulting GmbH;Baden-Württemberg;48.20418754;10.07299802;22;Normalladeeinrichtung;1
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.211121;10.06954;30;Normalladeeinrichtung;2
Präg Strom;Baden-Württemberg;48.239592;10.060476;22;Normalladeeinrichtung;2
SWU Energie GmbH;Baden-Württemberg;48.211078;10.069746;22;Normalladeeinrichtung;1
SWU Energie GmbH;Baden-Württemberg;48.31389;9.86102;44;Normalladeeinrichtung;1
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.464622;9.941352;30;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.513406;9.850734;30;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.463346;9.947873;150;Schnellladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.463346;9.947873;300;Schnellladeeinrichtung;2
Gemeinde Dornstadt;Baden-Württemberg;48.482306;9.911353;20;Normalladeeinrichtung;2
Gemeinde Dornstadt;Baden-Württemberg;48.464632;9.9415914;22;Normalladeeinrichtung;2
Gemeinde Dornstadt;Baden-Württemberg;48.513378;9.8507422;20;Normalladeeinrichtung;2
Lidl;Baden-Württemberg;48.461936;9.948326;75;Schnellladeeinrichtung;3
SWU Energie GmbH;Baden-Württemberg;48.468163;9.94098;22;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.45494;9.911473;30;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.49015;9.861754;30;Normalladeeinrichtung;2
EnBW mobility+ AG und Co.KG;Baden-Württemberg;48.482237;9.911473;30;Normalladeeinrichtung;2
Gemeinde Dornstadt;Baden-Württemberg;48.455093;9.9113609;22;Normalladeeinrichtung;2
Gemeinde Dornstadt;Baden-Württemberg;48.490108;9.8618227;22;Normalladeeinrichtung;2
