name,strasse,hausnr,plz,ort,address
Alexianer Krankenhaus Köln,Brückenstr.,45,50996,Köln,Brückenstr. 45 50996 Köln Germany
Cellitinnen-Krankenhaus St. Antonius,Schillerstr.,23,50968,Köln,Schillerstr. 23 50968 Köln Germany
Eduardus-Krankenhaus,Custodisstr.,3-17,50679,Köln,Custodisstr. 3-17 50679 Köln Germany
Evangelisches Klinikum Köln Weyertal,Weyertal,76,50931,Köln,Weyertal 76 50931 Köln Germany
Evangelisches Krankenhaus Kalk gGmbH,Buchforststraße,2,51103,Köln,Buchforststraße 2 51103 Köln Germany
Heilig Geist-Krankenhaus GmbH,Graseggerstr.,105,50737,Köln,Graseggerstr. 105 50737 Köln Germany
Klinik Alteburger Straße gGmbH,Alteburger Straße,8-12,50678,Köln,Alteburger Straße 8-12 50678 Köln Germany
Kliniken der Stadt Köln Standort Merheim,Ostmerheimer Str.,200,51109,Köln,Ostmerheimer Str. 200 51109 Köln Germany
Krankenhaus der Augustinerinnen,Jakobstr.,27-31,50678,Köln,Jakobstr. 27-31 50678 Köln Germany
LVR-Klinik Köln,Adamsstraße,12,51063,Köln,Adamsstraße 12 51063 Köln Germany
Sana Dreifaltigkeits-Krankenhaus Köln,Aachener Str.,445,50933,Köln,Aachener Str. 445 50933 Köln Germany
St. Elisabeth-Krankenhaus GmbH,Werthmannstr.,1,50935,Köln,Werthmannstr. 1 50935 Köln Germany
