land,kreis,name,zusatz,strasse,hausnr,plz,ort,address
05,111,Ev. Krankenhaus Düsseldorf,Ev. Krankenhaus Düsseldorf,Kirchfeldstraße,40,40217,Düsseldorf,Kirchfeldstraße 40 40217 Düsseldorf Germany
05,111,Fliedner Klinik Düsseldorf,Fliedner Klinik Düsseldorf - Ambulanz und Tagesklinik,Martin-Luther-Platz,26,40212,Düsseldorf,Martin-Luther-Platz 26 40212 Düsseldorf Germany
05,111,Florence-Nightingale-Krankenhaus,Florence-Nightingale-Krankenhaus,Kreuzbergstraße,79,40489,Düsseldorf,Kreuzbergstraße 79 40489 Düsseldorf Germany
05,111,Johanniter Tagesklinik Düsseldorf gGmbH  Klinik für Psychiatrie und Psychotherapie,Johanniter Tagesklinik Düsseldorf gGmbH   Klinik für Psychiatrie und Psychotherapie,Marbacher Str.,79-81,40597,Düsseldorf,Marbacher Str. 79-81 40597 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,Geriatrisches Krankenhaus Elbroich,Am Falder,6,40589,Düsseldorf,Am Falder 6 40589 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,Augusta-Krankenhaus,Amalienstraße,9,40472,Düsseldorf,Amalienstraße 9 40472 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,Gesundheits- und Therapie-Centrum,Hohensandweg,37,40591,Düsseldorf,Hohensandweg 37 40591 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,St. Vinzenz - Krankenhaus,Schloßstraße,85,40477,Düsseldorf,Schloßstraße 85 40477 Düsseldorf Germany
05,111,Luisenkrankenhaus GmbH & Co. KG,Luisenkrankenhaus GmbH & Co. KG,Luise-Rainer-Straße,6-10,40235,Düsseldorf,Luise-Rainer-Straße 6-10 40235 Düsseldorf Germany
05,111,LVR-Klinikum Düsseldorf,"Bergische Landstraße 2, 40629 Düsseldorf",Bergische Landstraße,2,40629,Düsseldorf,Bergische Landstraße 2 40629 Düsseldorf Germany
05,111,LVR-Klinikum Düsseldorf,LVR-Tagesklinik,Moorenstraße,5,40225,Düsseldorf,Moorenstraße 5 40225 Düsseldorf Germany
05,111,Marien Hospital Düsseldorf GmbH,Marien Hospital Düsseldorf,Rochusstraße,2,40479,Düsseldorf,Rochusstraße 2 40479 Düsseldorf Germany
05,111,Paracelsus Klinik Golzheim,Paracelsus Klinik Golzheim,Friedrich-Lau-Straße,11,40474,Düsseldorf,Friedrich-Lau-Straße 11 40474 Düsseldorf Germany
05,111,Sana Kliniken Düsseldorf,Sana Krankenhaus Gerresheim,Gräulinger Straße,120,40625,Düsseldorf,Gräulinger Straße 120 40625 Düsseldorf Germany
05,111,Sana Kliniken Düsseldorf,Sana Krankenhaus Benrath,Urdenbacher Allee,83,40593,Düsseldorf,Urdenbacher Allee 83 40593 Düsseldorf Germany
